"file","exact_equal","normalized_equal","expected_lines","actual_lines"
"gfa_test_APR.gff","False","True","3","3"
"gfa_test_APR.tsv","False","True","3","3"
"gfa_test_DR.gff","False","True","6","6"
"gfa_test_DR.tsv","False","True","6","6"
"gfa_test_GQ.gff","False","True","9","9"
"gfa_test_GQ.tsv","False","True","9","9"
"gfa_test_IR.gff","False","True","16","16"
"gfa_test_IR.tsv","False","True","16","16"
"gfa_test_MR.gff","False","True","7","7"
"gfa_test_MR.tsv","False","True","7","7"
"gfa_test_STR.gff","False","True","9","9"
"gfa_test_STR.tsv","False","True","9","9"
"gfa_test_Z.gff","False","True","6","6"
"gfa_test_Z.tsv","False","True","6","6"
